BandWidth, Algorithm, Video name, Rate, Utility,,,,,
,,tokyo,1672.830031,4.965199,,,,,
,,U_avg,4.882112,,,,,,
,,SUM_BW,13972.776021,,,,,,
,,TIME,0.026587,,,,,,
,,,,,,,,,
15000, Fast heap,lam,1199.944,4.975518,,,,,
,,sony,4987.053444,4.703618,,,,,
,,star,1059.1128,5.007415,,,,,
,,terminate,6238.720612,4.87983,,,,,
,,tokyo,1473.9852,4.95149,,,,,
,,U_avg,4.903574,,,,,,
,,SUM_BW,14958.816056,,,,,,
,,TIME,0.000018,,,,,,
,,,,,,,,,
, Full search,lam,1199.944,4.975518,,,,,
,,sony,4987.053444,4.703618,,,,,
,,star,1059.1128,5.007415,,,,,
,,terminate,6238.720612,4.87983,,,,,
,,tokyo,1473.9852,4.95149,,,,,
,,U_avg,4.903574,,,,,,
,,SUM_BW,14958.816056,,,,,,
,,TIME,0.02749,,,,,,
